word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
ڈاکٹر	ڈاکٹر	N	8.88	4.65	4.69	3	0.4	0	1.5
آبی درہ	وادی	N	6.75	4.81	4.72	4	0.4	0	1.39
دریا	وادی	N	1.67	4.89	4.72	4	0.4	0	1.23
سورج	آسمان	N	2.27	4.83	4.45	3	0.39	0	1.67
ہدف	تیر	N	3.25	4.11	4.97	3	0.38	0	1.74
چاکلیٹ	ایک قسم کا شور مچانے والا کوا	N	2.27	4.72	4.92	4	0.38	0	1.79
صورت	صورت حال	N	7.85	1.77	2.03	1	0.36	0	1.31
رائے	انتخاب	N	5.43	1.93	1.9	1	0.36	0	1.5
بحر	ترانہ	N	6.12	3.07	3.71	2	0.36	0	1.27
آنتیں	بل	N	4.93	4.15	3.89	3	0.36	0	1.65
دن	آغاز	N	5.47	3.92	4.46	3	0.36	0	1.45
بھیڑ بکری	گائے کا گوشت	N	7.03	4.64	4.74	3	0.36	0	1.53
ڈاکٹر	پروفیسر	N	4.65	4.69	4.86	4	0.36	0	1.19
بازو	رگ	N	3.65	4.96	4.63	4	0.36	0	1.62
کمرہ	غسل	N	3.33	4.79	4.85	4	0.36	0	0.49
کارپوریشن	کاروبار	N	9.02	2.79	3.28	2	0.35	0	1.44
مذاق	فٹ بال	N	1.97	1.97	4.73	2	0.35	0	1.43
پہاڑ	ٹیلہ	N	4.28	4.93	4.71	4	0.35	0	1.26
ہڈی	تختہ	N	3.82	4.9	4.81	4	0.35	0	0.69
سیب	قند	N	2.08	5.0	4.83	4	0.35	0	0.75
مدد کرنے والا	چھوکری	N	5.58	3.39	4.64	3	0.34	0	0.44
رہنما	مینیجر	N	7.27	3.89	4.14	3	0.34	0	1.43
لیموں	چائے	N	1.6	5.0	4.69	4	0.34	0	1.33
مکھی	چیونٹی	N	2.78	4.88	4.86	4	0.34	0	1.04
ایک کھیل	ایک کھیل کا انعام	N	4.92	4.97	4.86	4	0.34	0	0.93
چاول	باقلا	N	2.72	4.86	5.0	4	0.34	0	1.27
بستر	فرنیچر	N	6.08	5.0	4.89	4	0.34	0	0.84
جزبہ	شوق	N	7.72	2.44	2.3	1	0.33	0	1.3
قانونی حکومت کا تعطل	ابتری	N	7.93	2.12	2.79	1	0.33	0	1.35
جرم	خلاف ورزی	N	7.12	3.03	2.67	2	0.33	0	0.87
مشین	انجن	N	5.58	4.25	4.86	3	0.33	0	1.95
سمندر کے کنارے	سمندر	N	4.68	4.79	4.79	4	0.33	0	1.08
پٹری	پیمانہ	N	1.53	4.82	4.87	4	0.33	0	0.51
برتن	بوتل	N	7.83	5.0	4.91	4	0.33	0	1.44
طاقت	بل	N	5.28	2.96	1.93	1	0.32	0	1.33
بیج	رائی	N	3.48	4.71	4.93	4	0.32	0	0.59
ستار	ڈھول بجا کر منادی کرنا	N	3.78	4.9	4.96	4	0.32	0	1.72
رائے	خیال	N	5.7	1.93	1.61	1	0.31	0	1.29
شمال	مغرب	N	3.63	4.14	3.44	3	0.31	0	1.6
خوراک	سلاد	N	2.98	3.21	4.97	3	0.31	0	1.6
ماں	بیوی	N	3.02	4.6	4.13	3	0.31	0	1.62
ابا	ماں	N	3.55	4.29	4.6	3	0.31	0	1.44
سردار	ملاح	N	5.0	4.19	4.86	3	0.31	0	1.43
میٹر	آنگن	N	5.6	4.7	4.82	4	0.31	0	1.32
بیئر	فرانس کی اچھی قسم کی شراب	N	4.45	4.88	4.82	4	0.31	0	1.2
موٹر	کشتی	N	2.57	4.84	4.93	4	0.31	0	1.45
کارڈ	پل	N	1.97	4.9	4.97	4	0.31	0	1.69
سائنس	نفسیات	N	4.92	2.79	2.31	1	0.3	0	1.91
گنہگار	بزرگ	N	1.6	3.07	3.45	2	0.3	0	1.39
بربادی	تعمیر	N	0.98	3.21	3.72	2	0.3	0	1.69
بھرجانا	جھنڈ	N	7.42	4.52	3.5	3	0.3	0	1.37
سمندر کے کنارے	بادبان لپیٹنا	N	3.77	4.79	4.7	4	0.3	0	1.85
آدمی	بچہ	N	4.13	4.79	4.78	4	0.3	0	1.34
روٹی	پنیر	N	1.95	4.92	4.7	4	0.3	0	1.52
کھلاڑی	فاتح	N	8.73	3.82	3.21	2	0.29	0	1.15
تعریف	تقریب	N	7.72	3.47	3.57	2	0.29	0	0.61
فہرست طعام	حکم	N	3.62	4.67	2.79	3	0.29	0	1.42
بادشاہ	شہزادی	N	3.27	4.1	4.72	3	0.29	0	1.7
دولت	آبرو	N	6.07	2.63	1.61	1	0.28	0	1.55
برداشت	طاقت	N	6.58	2.0	2.96	1	0.28	0	0.59
خطرہ	تخویف اندیشہ	N	8.78	2.68	2.52	2	0.28	0	1.56
خدا	پادری	N	4.5	2.07	4.77	2	0.28	0	1.2
مرد	برادری	N	3.13	4.75	2.46	2	0.28	0	1.11
دوست	ساتھی	N	8.65	3.48	3.75	2	0.28	0	1.64
استاد	مدد کرنے والا	N	4.28	4.52	3.39	3	0.28	0	1.65
جسم	پیٹ	N	3.93	4.79	4.89	4	0.28	0	1.15
زبان	حلق	N	3.1	4.93	4.97	4	0.28	0	1.31
گھر	غالیچہ	N	1.38	5.0	4.96	4	0.28	0	1.44
انٹیلی جینس	مہارت	N	5.35	2.24	2.17	1	0.27	0	1.29
سفر	ظفر	N	4.72	2.57	2.54	1	0.27	0	1.12
خدا	شکار	N	1.23	2.07	3.61	2	0.27	0	1.73
بھائی	جان	N	0.97	4.43	1.86	2	0.27	0	1.18
حریف	سامنے کا	N	9.05	2.93	3.52	2	0.27	0	1.4
موت	مصیبت	N	4.13	3.73	2.96	2	0.27	0	1.46
دیو	دیو	N	6.95	3.72	3.32	2	0.27	0	1.5
دن	صبح	N	4.87	3.92	3.44	2	0.27	0	1.95
آدمی	غالب	N	1.9	4.79	2.88	3	0.27	0	1.67
دوست	آدمی	N	3.88	3.07	4.68	3	0.27	0	1.49
گانا	کہانی	N	3.97	4.46	3.3	3	0.27	0	1.27
چمکنا	دھوپ	N	6.83	3.57	4.21	3	0.27	0	1.55
آدمی	پھول دار کیل	N	5.83	4.68	4.0	3	0.27	0	1.7
چکن	چاول	N	1.43	4.8	4.86	4	0.27	0	1.47
خانہ	اٹھانے والا	N	1.32	4.9	4.79	4	0.27	0	1.28
مکھن	آلو	N	1.22	4.9	4.85	4	0.27	0	1.19
حجرہ	فرنیچر	N	1.28	4.9	4.89	4	0.27	0	1.72
جھیل	دلدل	N	4.92	4.88	4.96	4	0.27	0	1.6
سلاد	سرکہ	N	1.13	4.97	4.89	4	0.27	0	1.65
پھول	بصلہ	N	4.48	5.0	4.93	4	0.27	0	1.27
بادل	پردہ	N	6.67	4.54	4.51	3	0.26	0	1.43
ڈرائیور	پائلٹ	N	6.28	4.71	4.67	3	0.26	0	1.52
چینی	شھد	N	5.13	4.87	4.88	4	0.26	0	1.07
جسم	کندھا	N	2.88	4.79	4.93	4	0.25	0	1.47
خیال	تصویر	N	3.55	1.61	3.85	2	0.24	0	1.47
والد	بھائی	N	4.2	4.52	4.43	3	0.24	0	1.28
چاند	سیارہ	N	5.87	4.9	4.58	4	0.24	0	1.57
گیند	پوشاک	N	2.32	5.0	4.57	4	0.24	0	1.02
ریل	آڑ	N	5.22	4.9	4.82	4	0.24	0	1.17
کمرہ	بستر	N	2.35	4.79	5.0	4	0.24	0	1.31
پھول	جھاڑ	N	4.25	5.0	4.9	4	0.24	0	1.66
ہڈی	گھٹنا	N	4.17	4.9	5.0	4	0.24	0	1.64
بازو	گھٹنا	N	2.75	4.96	5.0	4	0.24	0	0.59
اصلیت	طرف	N	2.63	4.25	3.68	3	0.22	0	1.51
برتن	رگ	N	5.15	4.66	4.63	3	0.22	0	1.55
بلی	خرگوش	N	2.37	4.86	4.93	4	0.22	0	1.67
گوشت	سینڈوچ	N	2.35	4.9	4.9	4	0.22	0	1.69
اعتبار	تصور	N	5.08	1.19	1.41	1	0.21	0	1.44
انٹیلی جینس	بصیرت	N	5.9	2.24	1.72	1	0.21	0	1.59
توجہ	دلچسپی	N	7.22	2.3	1.8	1	0.21	0	1.21
رویہ	اپنی ذات پر بھروسہ	N	4.35	1.97	2.17	1	0.21	0	1.22
صحیح	انصاف	N	7.05	3.47	1.45	1	0.21	0	1.52
بحث	معاہدہ	N	1.45	2.85	2.22	1	0.21	0	1.36
محروم کرنے والا	عظمت	N	6.12	3.11	2.43	2	0.21	0	1.64
ذریعہ	خبریں	N	3.65	3.0	3.41	2	0.21	0	1.3
فاتح	امیدوار	N	2.78	3.21	3.81	2	0.21	0	1.29
سالگرہ	تاریخ	N	5.08	3.2	3.9	2	0.21	0	1.2
فیس	ادائیگی	N	7.15	3.89	3.91	3	0.21	0	1.56
توریت اور انجیل کا مجموعہ	بھجن	N	5.15	4.61	4.04	3	0.21	0	1.08
برخاستگی	دروازھ	N	5.5	3.93	4.75	3	0.21	0	1.73
آدمی	پہرے دار	N	3.25	4.79	4.04	3	0.21	0	1.22
بغلی راستہ	حال	N	6.35	4.35	4.67	3	0.21	0	0.96
وسکی	ایک قسم کی شراب	N	6.28	4.74	4.46	3	0.21	0	1.14
خون	گودا	N	3.4	4.86	4.48	3	0.21	0	1.17
تیل	آبی نیولا	N	1.23	4.93	4.58	4	0.21	0	1.53
تہہ زمین	جہاز کی چھت	N	5.55	4.8	4.77	4	0.21	0	1.06
چھت	تہہ زمین	N	2.62	4.79	4.8	4	0.21	0	1.66
دروازہ	تہہ زمین	N	1.67	4.81	4.8	4	0.21	0	0.39
کندھا	سر	N	3.42	4.93	4.75	4	0.21	0	1.14
جھگڑا	بار برداری کا خرچ	N	7.7	4.89	4.86	4	0.21	0	1.84
کار	بار برداری کا خرچ	N	5.13	4.89	4.86	4	0.21	0	1.2
موفق	تختہ	N	3.13	5.0	4.81	4	0.21	0	1.48
دولت	چرچا ہونا	N	4.02	2.63	1.96	1	0.2	0	1.1
غم	شرم کی بات	N	4.77	2.36	2.24	1	0.2	0	1.52
انتظامیہ	انتظام	N	7.25	2.78	2.72	2	0.2	0	1.67
رابطہ	گپ شپ	N	8.02	2.9	3.28	2	0.2	0	0.88
آلودگی	فضا	N	4.25	3.75	3.04	2	0.2	0	0.98
علم الاعضاء	علم الحیات	N	5.33	3.59	3.48	2	0.2	0	1.37
کالج	پیشہ	N	3.12	4.62	2.83	3	0.2	0	1.41
کتاب	مضمون	N	2.07	4.9	2.59	3	0.2	0	1.22
ترکیب	برابری	N	7.95	4.11	3.65	3	0.2	0	0.56
کتاب	معلومات	N	5.0	4.9	2.87	3	0.2	0	1.13
لڑکا	ساتھی	N	1.9	4.76	3.53	3	0.2	0	1.54
آسمان	کائنات	N	4.68	4.45	3.85	3	0.2	0	1.39
آبادی	لوگ	N	7.68	3.64	4.82	3	0.2	0	0.8
کالج	درجہ	N	4.13	4.62	3.85	3	0.2	0	1.16
چیف	امیر بلدیہ	N	4.85	4.26	4.37	3	0.2	0	1.25
ربی	وزیر	N	7.62	4.64	4.22	3	0.2	0	1.35
میٹر	انچ	N	5.08	4.7	4.37	3	0.2	0	1.19
پولِیَسٹَر	روئی	N	5.63	4.12	4.97	3	0.2	0	1.53
وکیل	صراف	N	1.88	4.7	4.43	3	0.2	0	1.18
چوتارا باجا	آلہ	N	6.58	4.96	4.27	3	0.2	0	1.39
کیمپ	جھونپڑی	N	4.2	4.35	4.92	3	0.2	0	1.2
دان	اوزار	N	2.53	4.81	4.57	3	0.2	0	1.26
سن کا	شکل	N	7.47	4.8	4.63	3	0.2	0	1.26
وسکی	فرانس کی اچھی قسم کی شراب	N	5.33	4.74	4.82	4	0.2	0	1.29
لڑکی	بچہ	N	5.38	4.85	4.78	4	0.2	0	1.21
جھونپڑا	جھونپڑی	N	7.72	4.85	4.92	4	0.2	0	1.47
پرندہ	مرغی	N	7.03	5.0	4.9	4	0.2	0	1.43
رنگ رلیاں	بانگ آواز	N	8.1	4.26	3.52	3	0.19	0	1.49
غروب آفتاب	شام	N	5.98	4.54	3.26	3	0.19	0	1.35
بوندا باندی	بارش	N	9.17	4.21	4.97	3	0.19	0	0.39
بالغ	بچے	N	2.22	4.4	5.0	3	0.19	0	0.39
کوئلہ	کوئلہ	N	7.63	4.85	4.66	4	0.19	0	1.43
جسم	ابھار	N	4.78	4.79	4.88	4	0.19	0	1.22
سر	نائل	N	2.47	4.75	4.93	4	0.19	0	1.4
لٹھا	عمارت کی لکڑی	N	8.05	4.96	4.9	4	0.19	0	1.12
چمچہ	کپ	N	2.02	4.96	5.0	4	0.19	0	0.9
جسم	بل	N	3.13	4.79	3.89	3	0.18	0	1.12
آدمی	خاوند	N	5.32	4.79	4.11	3	0.18	0	1.71
ہڈی	گردن	N	2.53	4.9	5.0	4	0.18	0	1.05
مایوسی	غصہ	N	6.5	2.06	2.41	1	0.17	0	0.39
دریا	سمندر	N	5.72	4.89	4.79	4	0.17	0	0.39
کام	نوکری	N	8.87	2.84	3.19	2	0.16	0	1.75
کلب	معاشرہ	N	5.23	3.78	2.54	2	0.16	0	1.59
انعکاس	تصویر	N	7.27	3.29	3.85	2	0.16	0	1.06
شہزادہ	بادشاہ	N	5.92	4.44	4.1	3	0.16	0	1.05
برف	موسم	N	5.48	4.85	3.83	3	0.16	0	1.36
لوگ	جماعت	N	2.2	4.82	3.89	3	0.16	0	1.42
لڑکا	بھائی	N	6.67	4.76	4.43	3	0.16	0	1.58
جڑ	جھاڑنا	N	3.55	4.34	4.93	3	0.16	0	1.35
ابرو	آنکھ	N	3.82	4.39	4.9	3	0.16	0	1.41
دولت	دانت	N	2.1	4.54	4.87	3	0.16	0	1.94
دولت	ہیرا	N	3.42	4.54	4.89	3	0.16	0	1.37
گاڑی	بس	N	6.47	4.64	4.9	4	0.16	0	1.38
یکہ گاڑی	بس	N	5.6	4.88	4.9	4	0.16	0	1.64
گھر	بے آرائش عمارت	N	4.33	5.0	4.79	4	0.16	0	1.6
انگشت	کف دست	N	3.33	5.0	4.83	4	0.16	0	1.5
کار	پل	N	0.95	4.89	4.97	4	0.16	0	1.2
جدوجہد	تنگی	N	4.45	2.33	1.9	1	0.15	0	1.22
حقیقت	بصیرت	N	4.77	2.72	1.72	1	0.15	0	1.11
نوکری	انتظام	N	3.97	3.19	2.72	2	0.15	0	1.33
کینسر	روگ	N	7.93	3.86	3.45	2	0.15	0	1.57
لفظ	اخبار	N	2.47	3.56	4.82	3	0.15	0	0.94
ترتیب کرنے والا	مصنف	N	6.58	4.37	4.32	3	0.15	0	0.8
اداکار	گلوکار	N	4.52	4.57	4.62	3	0.15	0	1.26
پناہ	بھدا مکان	N	6.47	4.64	4.65	3	0.15	0	1.59
غسل خانہ	باورچی خانہ	N	3.1	4.52	4.97	4	0.15	0	1.22
جھونپڑی	بھدا مکان	N	6.53	4.92	4.65	4	0.15	0	1.37
دروازہ	باورچی خانہ	N	1.67	4.81	4.97	4	0.15	0	0.44
قیمت	اعتبار	N	7.07	1.62	1.19	1	0.14	0	0.95
حکمت	انٹیلی جینس	N	7.47	1.53	2.24	1	0.14	0	1.33
جہالت	انٹیلی جینس	N	1.5	1.6	2.24	1	0.14	0	1.3
خوشی	قسمت	N	2.38	2.6	1.33	1	0.14	0	1.2
خیال	تجویز	N	6.75	1.61	2.41	1	0.14	0	1.47
دل	جزبہ	N	8.12	1.75	2.44	1	0.14	0	1.64
خوشی	امن	N	6.03	2.6	1.62	1	0.14	0	1.35
مایوسی	بدبختی	N	7.22	2.21	2.04	1	0.14	0	1.06
منطق	علم اعداد	N	3.97	1.72	2.74	1	0.14	0	1.81
انکار	اعتراف	N	1.03	2.46	2.4	1	0.14	0	1.64
بحث	نکتہ چینی	N	5.08	2.85	2.07	1	0.14	0	1.07
آغاز جنگ	خصومت	N	8.48	2.68	2.24	1	0.14	0	0.44
اختتاق الرحم	الجھن	N	6.33	2.86	2.24	1	0.14	0	0.44
علم کیمیائی	An error occured while translating, please try again.	N	3.17	3.64	1.47	1	0.14	0	1.4
آزمائش	فیصلہ	N	3.33	3.07	2.19	2	0.14	0	1.18
آرام	حفاظت	N	5.8	2.89	2.37	2	0.14	0	1.21
اپنی ذات پر بھروسہ	خود	N	3.12	2.17	3.1	2	0.14	0	1.24
نظر	احساس	N	6.88	3.39	2.0	2	0.14	0	1.31
تاریخی دور	دہائی	N	5.4	2.24	3.19	2	0.14	0	1.02
حیات	افسانہ	N	1.38	3.39	2.14	2	0.14	0	1.24
بحث	بحث	N	5.48	3.07	2.85	2	0.14	0	1.43
کوڈ	اشارہ	N	6.03	3.0	3.11	2	0.14	0	1.67
خطرہ	بیماری	N	3.0	2.68	3.45	2	0.14	0	0.44
حادثہ	مصیبت	N	5.9	3.26	2.96	2	0.14	0	1.63
سفر	سفر	N	8.88	2.57	3.71	2	0.14	0	1.14
سرگرمی	تحریک	N	7.15	2.72	3.63	2	0.14	0	1.1
بکواسی	خبریں	N	5.22	3.0	3.41	2	0.14	0	1.21
والد	خدا	N	3.57	4.52	2.07	2	0.14	0	1.31
کاروائی	نصاب	N	5.45	2.86	3.82	2	0.14	0	1.75
بخار	بیماری	N	7.65	3.27	3.54	2	0.14	0	1.54
ہوا بازی	اڑان	N	8.18	3.39	3.9	2	0.14	0	1.83
کھیل	کاروائی	N	4.85	4.5	2.86	2	0.14	0	1.12
مالیکیول	ہوا	N	3.05	3.27	4.11	2	0.14	0	1.84
گھر	ریاست	N	2.58	4.11	3.52	3	0.14	0	1.6
لفظ	ادبی	N	4.77	3.56	4.1	3	0.14	0	0.59
بالغ	امین	N	6.9	4.4	3.28	3	0.14	0	1.19
اخبار	معلومات	N	5.65	4.82	2.87	3	0.14	0	1.31
رابطہ	ٹیلیویژن	N	5.6	2.9	4.83	3	0.14	0	1.27
کزن	چاچا	N	4.63	3.7	4.24	3	0.14	0	1.84
مصنف	پڑھنے والا	N	1.6	4.26	3.89	3	0.14	0	1.47
آدمی	ساتھی	N	3.57	4.68	3.53	3	0.14	0	1.24
حصہ	گوشہ	N	2.07	3.72	4.61	3	0.14	0	1.41
An error occured while translating, please try again.	گانا	N	7.53	3.88	4.46	3	0.14	0	0.84
دیوار	اعزازی نشان	N	2.62	4.86	3.53	3	0.14	0	0.89
لفظ	پنا	N	2.92	3.56	4.9	3	0.14	0	0.99
نرس	سائنس دان	N	2.08	4.39	4.24	3	0.14	0	1.06
سیاست دان	صدر	N	7.38	4.33	4.4	3	0.14	0	1.05
صدر	امیر بلدیہ	N	5.68	4.4	4.37	3	0.14	0	1.4
کتاب	جدوجہد کرنا	N	4.72	4.9	3.97	3	0.14	0	1.3
آدمی	سپاہی	N	4.72	4.79	4.17	3	0.14	0	1.03
مضمون	جرنل	N	6.18	4.33	4.63	3	0.14	0	1.45
ناشتہ	رات کا کھانا	N	4.4	4.43	4.63	3	0.14	0	1.47
بھرجانا	پریڈ	N	3.93	4.52	4.54	3	0.14	0	1.05
بغلی راستہ	بَرآمدہ	N	6.75	4.35	4.74	3	0.14	0	1.36
استاد	ربی	N	4.37	4.52	4.64	3	0.14	0	1.12
اداس کرنا	لب	N	1.43	4.21	4.96	3	0.14	0	1.45
کتاب	مضمون	N	5.43	4.9	4.33	3	0.14	0	0.95
کمرہ	حجرہ	N	4.58	4.79	4.44	3	0.14	0	1.28
خانہ	عارضی دکان	N	3.8	4.9	4.42	3	0.14	0	1.38
بیٹی	بچہ	N	4.17	4.79	4.56	3	0.14	0	1.24
عضو	ٹانگ	N	6.9	4.64	4.83	4	0.14	0	1.23
جگر	پیپھڑا	N	2.7	4.68	4.82	4	0.14	0	1.38
کلاس روم	بَرآمدہ	N	2.0	4.76	4.74	4	0.14	0	1.23
پہاڑ	پرت	N	3.73	4.96	4.72	4	0.14	0	1.21
کار	اٹھانے والا	N	1.03	4.89	4.79	4	0.14	0	1.19
بستر	آرام دہ پلنگ	N	3.42	5.0	4.71	4	0.14	0	1.85
کپڑے	بتام	N	2.3	4.76	4.96	4	0.14	0	1.44
کپڑے	کوٹ	N	5.35	4.76	4.97	4	0.14	0	1.37
گردہ	آلہ	N	6.17	4.96	4.77	4	0.14	0	0.95
سیب	ساس	N	1.43	5.0	4.75	4	0.14	0	2.11
چکن	پسندہ	N	3.73	4.8	4.96	4	0.14	0	1.39
کار	جراب	N	0.87	4.89	4.87	4	0.14	0	0.78
تمباکو	سگریٹ	N	7.5	4.88	4.88	4	0.14	0	1.49
طالب علم	پروفیسر	N	1.95	4.92	4.86	4	0.14	0	1.13
بچے	بیٹی	N	5.0	5.0	4.79	4	0.14	0	1.29
آواز نکالنا	تمباکو کے پتوں کی لپیٹی ہوئی بتی	N	6.03	4.88	4.93	4	0.14	0	1.01
دودھ	رس	N	4.05	4.92	4.89	4	0.14	0	1.46
خانہ	تمباکو کے پتوں کی لپیٹی ہوئی بتی	N	1.25	4.9	4.93	4	0.14	0	1.89
حجرہ	سرائے	N	3.33	4.9	4.93	4	0.14	0	1.18
کپ	ایک آلہ	N	3.17	5.0	4.86	4	0.14	0	1.13
گھوڑا	بیل	N	3.02	5.0	4.86	4	0.14	0	1.18
حلق	ناک	N	2.8	4.97	4.89	4	0.14	0	1.12
ہڈی	دانت	N	4.17	4.9	4.96	4	0.14	0	1.92
ہڈی	موفق	N	3.78	4.9	5.0	4	0.14	0	1.58
سور کا نمکین گوشت	باقلا	N	1.22	4.9	5.0	4	0.14	0	0.92
کپ	برتن	N	5.13	5.0	5.0	4	0.14	0	1.17
ثبوت	حقیقت	N	7.3	2.67	2.72	2	0.13	0	1.7
ملاقات	اقرار	N	6.75	3.0	2.75	2	0.13	0	1.59
سالگرہ	سال	N	1.67	3.2	3.25	2	0.13	0	1.69
لفظ	پتہ	N	2.53	3.56	2.93	2	0.13	0	1.65
مصنف	خالق	N	8.02	4.26	3.07	2	0.13	0	1.5
ایٹم	ایک عنصر	N	3.1	3.34	4.22	3	0.13	0	0.93
لاٹ پادری	پادری	N	7.05	4.14	4.21	3	0.13	0	1.59
خط	پیرا	N	4.0	4.7	3.96	3	0.13	0	1.12
پنا	پیرا	N	3.03	4.9	3.96	3	0.13	0	1.37
مینار	خانہ گرجا	N	7.08	4.74	4.6	3	0.13	0	1.03
پٹھا	ہڈی	N	3.65	4.5	4.9	3	0.13	0	1.68
پٹھا	زبان	N	5.0	4.5	4.93	3	0.13	0	1.65
لڑکا	سپاہی	N	2.15	4.76	4.72	4	0.13	0	1.51
پیٹ	پیٹ	N	8.13	4.8	4.7	4	0.13	0	1.53
آدمی	لڑکی	N	3.33	4.68	4.85	4	0.13	0	1.9
بستر	کرسی	N	3.5	5.0	4.58	4	0.13	0	1.26
کپڑے	چھوٹا کوٹ	N	5.15	4.76	4.86	4	0.13	0	0.74
بندوق	چاقو	N	3.65	4.83	4.9	4	0.13	0	1.03
پتلی چادر	دھات	N	5.63	4.87	4.87	4	0.13	0	1.15
بوتل	کنٹینر	N	7.93	4.91	4.85	4	0.13	0	1.38
مرغی	ایک قسم کا مرغ	N	6.13	4.9	4.89	4	0.13	0	1.6
گوشت	روٹی	N	1.67	4.9	4.92	4	0.13	0	1.62
بازو	ہڈی	N	3.83	4.96	4.9	4	0.13	0	1.94
گردن	ابھار	N	5.32	5.0	4.88	4	0.13	0	1.16
سیب	لیموں	N	4.05	5.0	5.0	4	0.13	0	1.58
شدید تکلیف	غم	N	7.63	2.38	2.7	1	0.12	0	1.94
اظہار وجوہ	کام	N	8.7	3.86	2.84	2	0.12	0	1.37
رات	آغاز	N	2.95	4.52	4.46	3	0.12	0	1.53
رات کا کھانا	سوپ	N	3.72	4.5	4.72	3	0.12	0	1.89
احمق	بیل	N	4.93	4.48	4.85	3	0.12	0	1.67
برف	آندھی	N	4.8	4.85	4.7	4	0.12	0	0.88
نائل	ہاتھ	N	3.42	4.93	4.72	4	0.12	0	1.14
کتا	گھوڑا	N	2.38	4.85	5.0	4	0.12	0	1.39
بازو	گردن	N	1.58	4.96	5.0	4	0.12	0	0.72
گیند	آہنی	N	1.75	5.0	4.97	4	0.12	0	1.27
فلو	بخار	N	6.08	3.65	3.27	2	0.11	0	1.58
فیس	تنخواہ	N	3.72	3.89	3.69	3	0.11	0	1.26
بل	دماغ	N	3.88	3.89	4.69	3	0.11	0	1.74
جانور	جانور	N	7.83	4.63	4.61	3	0.11	0	1.64
رات کا کھانا	چکن	N	2.85	4.5	4.8	3	0.11	0	1.5
لڑکی	چھوکری	N	2.93	4.85	4.64	4	0.11	0	0.9
بچہ	لڑکا	N	5.75	4.78	4.76	4	0.11	0	1.82
الغول	شراب	N	7.42	4.76	4.79	4	0.11	0	1.53
ناک	منہ	N	3.73	4.89	4.74	4	0.11	0	1.5
گلی	کار	N	2.38	4.75	4.89	4	0.11	0	1.16
گھنٹی	دروازہ	N	2.2	4.96	4.81	4	0.11	0	1.46
خانہ	دھوپ کی ٹوپی	N	1.3	4.9	4.88	4	0.11	0	1.15
اعتبار	داب	N	5.95	1.19	2.23	1	0.1	0	0.72
ایک طرف جھکانا	رائے	N	5.6	1.68	1.93	1	0.1	0	1.16
توجہ	بیداری	N	8.73	2.3	1.84	1	0.1	0	1.64
غصہ	دل	N	4.1	2.41	1.75	1	0.1	0	1.87
فصاحت	انداز	N	5.72	2.18	2.67	1	0.1	0	1.76
خوبصورتی	عمر	N	1.58	2.93	2.86	2	0.1	0	1.54
کتاب	اصل	N	2.58	4.9	2.72	3	0.1	0	0.81
دوست	ماں	N	2.53	3.07	4.6	3	0.1	0	1.54
حیاتین	آہن	N	5.55	4.48	4.59	3	0.1	0	1.14
کار	فیکٹری	N	2.75	4.89	4.76	4	0.1	0	1.43
صلح نامہ	حالت	N	2.45	2.52	2.15	1	0.0	0	1.59
باب	انتخاب	N	0.48	3.43	1.9	2	0.0	0	0.86
علم اعداد	بحر	N	2.35	2.74	3.07	2	0.0	0	2.08
فاتح	موجودگی	N	1.08	3.21	2.72	2	0.0	0	1.12
اعتبار	پھول	N	0.4	1.19	5.0	2	0.0	0	1.19
فاتح	مقصد	N	3.23	3.21	3.06	2	0.0	0	1.67
بری حرکت	سائز	N	0.48	3.36	3.13	2	0.0	0	0.59
انتخاب	رگ	N	0.98	1.9	4.63	2	0.0	0	1.11
بھجن	ظفر	N	0.68	4.04	2.54	2	0.0	0	0.88
برداشت	بینڈ	N	0.4	2.0	4.68	2	0.0	0	0.44
جیل	انتخاب	N	1.08	4.83	1.9	2	0.0	0	1.08
حالت	لڑکا	N	0.48	2.15	4.76	2	0.0	0	0.8
پھول	برداشت	N	0.4	5.0	2.0	2	0.0	0	1.7
سوراخ	معاہدہ	N	0.3	4.81	2.22	2	0.0	0	1.72
ڈاکٹر	غصہ	N	0.48	4.69	2.56	2	0.0	0	1.44
برادری	دروازہ	N	0.68	2.46	4.81	2	0.0	0	0.94
کام	عورت	N	0.68	2.84	4.46	2	0.0	0	0.34
برادری	ایک کھیل کا انعام	N	0.88	2.46	4.86	2	0.0	0	0.98
سو	سائز	N	0.4	4.19	3.13	2	0.0	0	1.24
موجودگی	دروازہ	N	0.48	2.72	4.81	3	0.0	0	0.83
چوہا	انتظام	N	0.48	4.83	2.72	3	0.0	0	1.59
کام	شاہراہ	N	0.48	2.84	4.72	3	0.0	0	1.34
شراب	سو برس	N	0.4	4.73	2.83	3	0.0	0	1.31
کام	بھوسہ	N	0.68	2.84	4.77	3	0.0	0	1.53
جزیرہ	کام	N	0.3	4.96	2.84	3	0.0	0	0.96
رات	باب	N	0.48	4.52	3.43	3	0.0	0	0.92
آلودگی	صدر	N	0.68	3.75	4.4	3	0.0	0	1.6
بندوق	بری حرکت	N	0.48	4.83	3.36	3	0.0	0	1.41
غسل	بری حرکت	N	0.58	4.85	3.36	3	0.0	0	1.28
خوراک	سیب	N	1.18	3.21	5.0	3	0.0	0	1.56
